0.7299996, 0, 0, 46.3245, 9.392142, 0, 598.4357, -4725.118, -6.25, 0.01823969, 0.1523926, 35.67474, 4.311834, 3.308312, 141.7867
1.369999, -0.2596561, -0.1678815, 85.07978, 9.420633, 1.4085405988803073337186375485, 2466.098, -4776.879, -6.25, 0.01823969, 0.1523926, 72.5489, 4.107243, 3.29172, 143.9829
 
1.379999, -0.2540809, -0.1704781, 85.69782, 9.42177, 1.3637710826354959832113735577, 2505.812, -4777.695, -6.25, 0.01823969, 0.1523926, 73.1335, 4.112902, 3.291461, 144.0173
 
1.389999, -0.2481312, -0.1730189, 86.31477, 9.421558, 1.3190090039080947768644681080, 2545.852, -4778.51, -6.25, 0.01823969, 0.1523926, 73.7183, 4.118608, 3.291201, 144.0516
 
1.399999, -0.2417976, -0.1755002, 86.93202, 9.42135, 1.2742591144453366535172522290, 2586.218, -4779.327, -6.25, 0.01823969, 0.1523926, 74.3033, 4.124363, 3.290942, 144.0859
 
1.409999, -0.2350709, -0.1779182, 87.55087, 9.422482, 1.2295294715577408332704616588, 2626.912, -4780.143, -6.25, 0.01823969, 0.1523926, 74.8885, 4.130165, 3.290683, 144.1202
 
1.419999, -0.2279472, -0.1802689, 88.16864, 9.42227, 1.1848273061650158122890344061, 2667.931, -4780.959, -6.25, 0.01823969, 0.1523926, 75.47389, 4.136014, 3.290423, 144.1545
 
1.429999, -0.220417, -0.1825484, 88.78666, 9.422055, 1.1401602623822733827287495447, 2709.275, -4781.776, -6.25, 0.01823969, 0.1523926, 76.05945, 4.14191, 3.290164, 144.1888
 
1.439999, -0.2124746, -0.1847525, 89.40494, 9.421842, 1.0955401162787450676902243818, 2750.946, -4782.593, -6.25, 0.01823969, 0.1523926, 76.6452, 4.147851, 3.289905, 144.2232
 
1.449999, -0.2041139, -0.1868773, 90.02347, 9.421625, 1.0509786439236541263658450265, 2792.943, -4783.41, -6.25, 0.01823969, 0.1523926, 77.23113, 4.153837, 3.289646, 144.2575
 
1.459999, -0.1953263, -0.1889184, 90.64359, 9.422755, 1.0064845224206495145673024093, 2835.265, -4784.227, -6.25, 0.01823969, 0.1523926, 77.81722, 4.159866, 3.289386, 144.2918
 
1.469999, -0.1861102, -0.1908717, 91.26257, 9.422537, 0.9620707674251912371612572291, 2877.911, -4785.044, -6.25, 0.01823969, 0.1523926, 78.40348, 4.165937, 3.289127, 144.3261
 
1.479999, -0.1764595, -0.1927328, 91.88179, 9.422319, 0.9177510143858669687482675777, 2920.884, -4785.862, -6.25, 0.01823969, 0.1523926, 78.98991, 4.17205, 3.288868, 144.3604
 
1.489999, -0.1663699, -0.1944974, 92.50124, 9.422098, 0.8735405515328982276628338032, 2964.181, -4786.68, -6.25, 0.01823969, 0.1523926, 79.5765, 4.1782, 3.288609, 144.3947
 
1.499999, -0.1558366, -0.1961611, 93.12228, 9.423226, 0.8294542539011032362486151885, 3007.805, -4787.498, -6.25, 0.01823969, 0.1523926, 80.16327, 4.184388, 3.288349, 144.429
 
1.509999, -0.1448587, -0.1977194, 93.74218, 9.423004, 0.7855041041574172315787073730, 3051.753, -4788.316, -6.25, 0.01823969, 0.1523926, 80.75018, 4.190611, 3.28809, 144.4634
 
1.519999, -0.1334336, -0.199168, 94.3623, 9.42278, 0.7417101422793008687581151330, 3096.025, -4789.135, -6.25, 0.01823969, 0.1523926, 81.33724, 4.196867, 3.287831, 144.4977
 
1.529999, -0.1215606, -0.2005024, 94.9826, 9.422557, 0.6980915818533916830936987178, 3140.622, -4789.953, -6.25, 0.01823969, 0.1523926, 81.92446, 4.203154, 3.287571, 144.532
 
1.539999, -0.1092366, -0.201718, 95.6045, 9.42368, 0.6546635045122116109015957424, 3185.544, -4790.772, -6.25, 0.01823969, 0.1523926, 82.51183, 4.209468, 3.287312, 144.5663
 
1.549999, -0.09646768, -0.2028103, 96.22388, 9.422106, 0.6114449172446903415620725251, 3230.789, -4791.592, -6.25, 0.01823969, 0.1523926, 83.09932, 4.215807, 3.287053, 144.6006
 
1.559999, -0.08324848, -0.203775, 96.84612, 9.423227, 0.5684575128099409677075962942, 3276.356, -4792.411, -6.25, 0.01823969, 0.1523926, 83.68694, 4.222167, 3.286794, 144.6349
 
1.569999, -0.06958497, -0.2046075, 97.46856, 9.424352, 0.5257194718060679929432310416, 3322.247, -4793.23, -6.25, 0.01823969, 0.1523926, 84.2747, 4.228547, 3.286534, 144.6693
 
1.579999, -0.05548561, -0.2053033, 98.08843, 9.422769, 0.4832549661646456053876463782, 3368.46, -4794.049, -6.25, 0.01823969, 0.1523926, 84.86255, 4.234941, 3.286275, 144.7036
 
1.589999, -0.0409486, -0.2058582, 98.7112, 9.423889, 0.4410867216333075335127589930, 3414.996, -4794.869, -6.25, 0.01823969, 0.1523926, 85.45055, 4.241346, 3.286016, 144.7379
 
1.599999, -0.02598512, -0.2062677, 99.3328, 9.423659, 0.3992353979826421021574710548, 3461.854, -4795.689, -6.25, 0.01823969, 0.1523926, 86.03864, 4.247758, 3.285757, 144.7722
 
1.609999, -0.01060199, -0.2065275, 99.95454, 9.423426, 0.3577262001327462012569594348, 3509.032, -4796.509, -6.25, 0.01823969, 0.1523926, 86.62685, 4.254174, 3.285498, 144.8065
 
1.619999, 0.005190949, -0.2066335, 100.5764, 9.423194, 0.3165847461991386105307622648, 3556.533, -4797.33, -6.25, 0.01823969, 0.1523926, 87.21516, 4.260587, 3.285238, 144.8408
 
1.629999, 0.02138464, -0.2065816, 101.1999, 9.424312, 0.2758358279065129239232153506, 3604.356, -4798.15, -6.25, 0.01823969, 0.1523926, 87.8036, 4.266993, 3.284979, 144.8752
 
