Flight_Time_(s),Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
6.146,-14.8,292.4,-9.1,-0.41,-1.52,0.7
6.148,-5.1,297.9,-5.1,-0.34,-1.4,0.58
6.15,-5.1,292.6,-3,-0.64,-1.57,0.64
6.152,-8.7,298.2,-6.5,-0.43,-1.5,0.58
6.154,-23.2,296.8,-1.9,-0.48,-1.51,0.69
6.156,-9,293.1,-0.5,-0.49,-1.42,0.66
6.158,-13.4,296.6,-8.6,-0.53,-1.47,0.68
6.16,-6.1,300.5,-1.6,-0.5,-1.38,0.65
6.162,-4.8,302.3,-3.3,-0.48,-1.4,0.71
6.164,-15.1,303.4,-5.5,-0.5,-1.49,0.55
6.166,-13.5,297.5,-5.9,-0.42,-1.49,0.83
6.168,-11.4,302,-3.2,-0.57,-1.48,0.68
6.17,-11.3,311,1.1,-0.36,-1.5,0.73
6.172,-8.7,300,-5.7,-0.55,-1.47,0.57
6.174,-6.6,304.5,-4.6,-0.3,-1.46,0.57
6.176,-6.6,309.2,-0.5,-0.63,-1.57,0.61
6.178,-16.4,303.8,-7.6,-0.4,-1.46,0.58
6.18,-14.6,303.1,-5.1,-0.33,-1.42,0.65
6.182,-14.9,299.1,-4,-0.55,-1.54,0.66
6.184,-18.1,299.9,-4.2,-0.4,-1.5,0.62
6.186,-10.4,305.2,-6.8,-0.5,-1.5,0.74
6.188,-1.3,314,-7,-0.45,-1.45,0.63
6.19,-9.8,319.1,-0.1,-0.44,-1.42,0.62
6.192,-24.2,306.6,-2.8,-0.58,-1.5,0.66
6.194,-13.1,312.1,-4,-0.35,-1.36,0.66
6.196,-5.4,319.4,-0.9,-0.46,-1.44,0.67
6.198,-13.9,317.7,0.3,-0.44,-1.47,0.77
6.2,-17,311.5,-9.1,-0.51,-1.42,0.69
6.202,-9.9,313.1,-6.5,-0.4,-1.36,0.78
6.204,-7,327.6,0,-0.5,-1.43,0.66
6.206,-7.4,322.4,0.4,-0.45,-1.3,0.69
6.208,-0.9,319,-5.6,-0.47,-1.51,0.65
6.21,-8.3,324.7,-5.1,-0.44,-1.45,0.78
6.212,-16,319.2,0.6,-0.42,-1.5,0.63
6.214,-10.3,323.7,-6.7,-0.36,-1.36,0.79
6.216,-10.2,327.8,-7,-0.42,-1.46,0.76
6.218,-8.3,320.1,2.5,-0.38,-1.38,0.64
6.22,-10.7,328,0.6,-0.44,-1.44,0.8
6.222,-3.9,327.2,-8.3,-0.54,-1.44,0.64
6.224,-10.4,325,-4.9,-0.38,-1.46,0.74
6.226,-4.9,330.8,0.5,-0.4,-1.44,0.63
6.228,-14.4,332.4,-3.7,-0.43,-1.46,0.76
6.23,-10.5,328.2,0.7,-0.37,-1.38,0.75
6.232,-9,327.2,0.1,-0.4,-1.37,0.7
6.234,-13.3,326.5,-12,-0.4,-1.39,0.56
6.236,-6.8,339.5,-2,-0.49,-1.37,0.61
6.238,-12.5,340.6,-5.1,-0.59,-1.46,0.8
6.24,-4.1,343.1,-2.5,-0.47,-1.35,0.69
6.242,5.3,345.2,-2,-0.31,-1.37,0.76
6.244,-6.2,338,-2.9,-0.46,-1.45,0.75
6.246,-8.8,342.7,0.4,-0.37,-1.5,0.61
6.248,-6.7,350.1,-3.8,-0.51,-1.36,0.8
6.25,-11.2,342.5,-5.9,-0.49,-1.42,0.74
6.252,-4.4,346.4,-1,-0.49,-1.31,0.73
6.254,-11.4,351.9,-4.5,-0.47,-1.45,0.73
6.256,-0.7,348.5,-3.7,-0.42,-1.38,0.72
6.258,-12.4,347.4,-5.9,-0.28,-1.41,0.76
6.26,-9.5,355.3,-0.9,-0.33,-1.32,0.67
6.262,-0.2,356.2,-4.2,-0.46,-1.5,0.73
6.264,-5.5,356.8,-0.7,-0.4,-1.45,0.78
6.266,-12.5,350.4,2.7,-0.45,-1.52,0.67
6.268,-21.4,351.4,-3.7,-0.43,-1.44,0.67
6.27,-10.2,348.6,-0.7,-0.48,-1.31,0.77
6.272,-16.3,353.4,0.1,-0.44,-1.47,0.78
6.274,-11.8,354.9,0.8,-0.34,-1.42,0.67
6.276,-16.5,350.9,-7.9,-0.38,-1.43,0.69
6.278,-7.8,374,-6.1,-0.47,-1.43,0.67
6.28,-10.5,363.2,-4,-0.45,-1.37,0.81
6.282,-13.3,360,-5.4,-0.45,-1.36,0.6
6.284,-13,366.3,2.9,-0.36,-1.42,0.73
6.286,-10,364,1.8,-0.37,-1.44,0.73
6.288,-8,361.2,-8.6,-0.52,-1.37,0.59
6.29,-17.2,373.2,-11.6,-0.4,-1.49,0.78
6.292,-12.1,358.1,-3.9,-0.38,-1.43,0.59
6.294,-14.4,363.2,-4.1,-0.59,-1.35,0.77
6.296,-11.5,372.1,-7.9,-0.36,-1.42,0.55
6.298,-5.2,373.3,0,-0.43,-1.35,0.74
6.3,-15.8,377.2,2.5,-0.29,-1.39,0.75
6.302,-10.2,373.4,-5.6,-0.46,-1.47,0.62
6.304,-11.7,374.2,-6.5,-0.41,-1.4,0.81
6.306,-13.7,367.8,-2.7,-0.44,-1.4,0.59
6.308,-7.3,381.9,-5.4,-0.47,-1.38,0.66
6.31,-15.3,371.1,-4,-0.26,-1.36,0.77
6.312,-12.1,384.4,0.4,-0.58,-1.43,0.58
6.314,4.6,387.6,-0.3,-0.44,-1.37,0.8
6.316,-4.4,369.8,-7.4,-0.46,-1.52,0.66
6.318,-16.7,380,-7,-0.37,-1.45,0.61
6.32,-10.1,383.6,0.9,-0.4,-1.46,0.77
6.322,-7.4,379.9,2.3,-0.37,-1.28,0.58
6.324,-10.9,387.9,-7,-0.45,-1.39,0.82
6.326,-15.6,386.2,-5.1,-0.48,-1.31,0.78
6.328,-11.2,382.9,-2.2,-0.43,-1.32,0.7
6.33,-17.1,379.4,-6.7,-0.41,-1.37,0.7
6.332,-12.3,390.2,-5.8,-0.42,-1.37,0.64
6.334,-13.2,383.4,1.5,-0.33,-1.4,0.62
6.336,-10.2,393.6,1,-0.41,-1.37,0.67
6.338,-11.4,387.3,-2.8,-0.42,-1.42,0.64
6.34,-1.9,390.7,-2.3,-0.48,-1.43,0.73
6.342,-14.4,393,-5.1,-0.49,-1.37,0.67
6.344,-14,393.1,-7.3,-0.56,-1.4,0.67
6.346,-1.4,389.2,-6.6,-0.43,-1.35,0.7
6.348,-13.5,397.2,-2.2,-0.37,-1.43,0.57
6.35,-17.7,392.8,-7.4,-0.6,-1.4,0.56
6.352,-10,395.9,-3.3,-0.36,-1.43,0.52
6.354,-5.1,407.6,-1.5,-0.51,-1.44,0.62
6.356,-7.8,404.1,-3,-0.5,-1.39,0.65
6.358,-15.4,395.9,-8.2,-0.37,-1.41,0.67
6.36,-16,400.6,-0.9,-0.57,-1.38,0.73
6.362,-11.5,400.9,-1.2,-0.47,-1.48,0.6
6.364,-10.4,398.5,-0.5,-0.36,-1.39,0.69
6.366,-14.1,405.3,-6,-0.53,-1.31,0.59
6.368,-11.6,401.8,-2.5,-0.37,-1.42,0.63
6.37,-11.7,408.3,-6,-0.54,-1.39,0.68
6.372,-15.8,403.4,-8.6,-0.49,-1.31,0.76
6.374,-16.3,408.8,-0.5,-0.31,-1.36,0.68
6.376,-9.3,411.4,-0.1,-0.36,-1.33,0.77
6.378,-12.8,410.6,-9.5,-0.46,-1.51,0.66
6.38,-12.5,416.8,-6.1,-0.37,-1.39,0.77
6.382,-15.1,412.1,-3.8,-0.27,-1.3,0.58
6.384,-13.2,411.1,-6.1,-0.4,-1.4,0.7
6.386,-5.1,420.5,-11.5,-0.37,-1.39,0.73
6.388,-12.1,417.8,2.3,-0.4,-1.43,0.62
6.39,-8.4,423.5,4.6,-0.47,-1.45,0.86
6.392,-12.7,419.6,-11.6,-0.46,-1.34,0.54
6.394,-11.6,414.1,-8.4,-0.47,-1.45,0.69
6.396,-16.8,420.9,-2.6,-0.52,-1.36,0.58
6.398,-16,412,-7,-0.44,-1.42,0.7
6.4,-7.5,418.6,-8.9,-0.43,-1.39,0.56
6.402,0.4,430.2,5,-0.42,-1.24,0.76
6.404,-11.1,415.3,5,-0.38,-1.33,0.59
6.406,-10.3,417.5,-7.8,-0.48,-1.38,0.68
6.408,-9.1,430.9,-6.9,-0.52,-1.3,0.78
6.41,-1.7,427.4,-0.2,-0.36,-1.4,0.8
6.412,-7.5,428.1,-6.7,-0.46,-1.4,0.62
6.414,-7.7,431.5,0.9,-0.47,-1.39,0.69
6.416,-7.1,425.3,5.3,-0.34,-1.39,0.55
6.418,-15.4,428.1,5.8,-0.58,-1.46,0.81
6.42,-19.3,434,-12.5,-0.28,-1.35,0.65
6.422,-3,437,-7.4,-0.38,-1.34,0.76
6.424,-11.8,421.9,-2.3,-0.57,-1.4,0.69
6.426,-6.4,439.9,-8.1,-0.51,-1.38,0.81
6.428,-10,436,4.7,-0.43,-1.38,0.66
6.43,-9.3,436.1,4,-0.45,-1.32,0.79
6.432,-12.9,438.6,-12.7,-0.54,-1.38,0.66
6.434,-3.7,439.9,-6.1,-0.32,-1.33,0.62
6.436,-5.8,443.5,-2.9,-0.33,-1.42,0.76
6.438,-7.5,450.1,-4.6,-0.49,-1.34,0.7
6.44,-2.3,449.1,-4.3,-0.46,-1.52,0.65
6.442,-18.8,441.2,-3.9,-0.49,-1.32,0.81
6.444,-14.2,453.1,-1.9,-0.38,-1.36,0.74
6.446,-15.8,445.8,-3.4,-0.47,-1.29,0.88
6.448,-15.6,439.5,-2.3,-0.4,-1.36,0.73
6.45,-10.7,450.1,-3.5,-0.44,-1.35,0.67
6.452,-7.5,455.6,-5.4,-0.48,-1.34,0.87
6.454,0.4,458.9,-4.2,-0.48,-1.28,0.7
6.456,-4.1,464.6,2.2,-0.4,-1.32,0.71
6.458,-4.4,452.9,-1.4,-0.49,-1.5,0.59
6.46,-15.4,450.1,1.3,-0.4,-1.32,0.85
6.462,-11.7,460.7,2.9,-0.34,-1.33,0.62
6.464,-18.2,459.4,-6.3,-0.3,-1.3,0.96
6.466,-16.6,453.1,-7,-0.5,-1.33,0.76
6.468,-8.3,468.5,0.6,-0.33,-1.39,0.75
6.47,-8,456,-1.3,-0.38,-1.27,0.93
6.472,-19.6,454.1,-2.4,-0.24,-1.43,0.51
6.474,-18.3,460.9,-3.3,-0.38,-1.33,0.77
6.476,-9.7,468.3,3.4,-0.32,-1.28,0.78
6.478,-9.7,467.6,-9.7,-0.48,-1.43,0.71
6.48,-10.5,467.3,-4.9,-0.36,-1.43,0.8
6.482,-18.8,462.9,2.9,-0.51,-1.4,0.71
6.484,-19.5,463.1,-0.9,-0.46,-1.49,0.78
6.486,-16.8,474.6,-4,-0.45,-1.4,0.65
6.488,-8.1,471.5,2.5,-0.56,-1.43,0.81
6.49,-7.8,472.7,-2.5,-0.39,-1.35,0.94
6.492,-17.3,471.3,-5.4,-0.55,-1.33,0.74
6.494,-12.1,480.7,-2.6,-0.4,-1.32,0.73
6.496,-8.2,477.8,2.4,-0.44,-1.22,0.81
6.498,-17.7,486.9,-2.9,-0.49,-1.31,0.67
6.5,-20.2,474.9,-5.1,-0.42,-1.34,0.87
6.502,-14.6,477.2,-3.3,-0.54,-1.33,0.8
6.504,-16.6,487.9,-2.7,-0.39,-1.41,0.74
6.506,-18.5,473.4,-7.4,-0.39,-1.36,0.79
6.508,-15.6,479.4,-1.4,-0.3,-1.41,0.74
6.51,-18.9,489,-4.6,-0.41,-1.39,0.75
6.512,-6.7,490.4,-0.6,-0.46,-1.33,0.69
6.514,-18.1,480.2,-1.5,-0.48,-1.37,0.82
6.516,-16.9,490.6,-6.2,-0.44,-1.41,0.8
6.518,-10,493.3,-4.4,-0.47,-1.44,0.75
6.52,-14.3,496,-3.4,-0.4,-1.36,0.72
6.522,-13.4,491.8,1.1,-0.47,-1.36,0.76
6.524,-10.7,497.7,-1.5,-0.51,-1.4,0.75
6.526,-14.8,496.5,-3.2,-0.49,-1.4,0.75
6.528,-24,493.2,-5.8,-0.54,-1.37,0.83
6.53,-12.2,499.8,-1.4,-0.33,-1.28,0.85
6.532,-16.7,493.3,-7.5,-0.48,-1.35,0.76
6.534,-18.7,498.8,-8.5,-0.54,-1.42,0.8
6.536,-23.4,497.1,-4.2,-0.45,-1.37,0.71
6.538,-11.1,503.7,-5.1,-0.53,-1.41,0.77
6.54,-17.9,503.4,-3.1,-0.48,-1.32,0.68
6.542,-7.2,503.7,-0.2,-0.35,-1.4,0.66
6.544,-17.8,499,-10.5,-0.39,-1.29,0.67
6.546,-24,501.8,-7.9,-0.42,-1.3,0.65
6.548,-13.9,503.2,-7,-0.35,-1.26,0.72
6.55,-11.2,506.7,-1.8,-0.45,-1.34,0.69
6.552,-13.3,505.3,0,-0.33,-1.3,0.63
6.554,-10,513.1,-1.8,-0.47,-1.36,0.71
6.556,-7.9,516.8,-1.9,-0.5,-1.35,0.72
6.558,-5.9,514.1,-5.7,-0.4,-1.33,0.71
6.56,-10,514.1,-7.5,-0.48,-1.32,0.9
6.562,-10.7,515.1,-0.8,-0.56,-1.33,0.84
6.564,-12,518.4,0,-0.51,-1.21,0.7
6.566,-10.7,521.6,-5.3,-0.51,-1.2,0.91
6.568,-15.8,512.6,-2.4,-0.55,-1.34,0.71
6.57,-19.3,516.1,-2.2,-0.52,-1.42,0.86
6.572,-13.9,522.4,-5.9,-0.52,-1.48,0.72
6.574,-15.6,517.8,-5.9,-0.42,-1.35,0.77
6.576,-16.5,517.1,-5.1,-0.51,-1.42,0.83
6.578,-18,519.4,-2.1,-0.46,-1.32,0.71
6.58,-22,515.5,-7.5,-0.36,-1.36,0.83
6.582,-18.3,519.4,-7.7,-0.6,-1.3,0.69
6.584,-21.1,521.7,-4.7,-0.36,-1.31,0.62
6.586,-21.3,520.8,-7,-0.35,-1.25,0.66
6.588,-15.6,524.9,-6.5,-0.34,-1.34,0.75
6.59,-8.1,526.4,-0.7,-0.35,-1.28,0.7
6.592,-12.6,519.2,-2.7,-0.41,-1.37,0.75
6.594,-15.2,522.7,-7.5,-0.37,-1.31,0.73
6.596,-19.4,522,-10.1,-0.47,-1.34,0.8
6.598,-19.4,533.4,-7.1,-0.58,-1.43,0.8
6.6,-13.9,532.4,-7.3,-0.49,-1.42,0.84
6.602,-5.8,535,-6.7,-0.49,-1.28,0.87
6.604,-8.3,533.9,-1.6,-0.49,-1.35,0.88
6.606,-16.1,532.5,-0.3,-0.42,-1.32,0.69
6.608,-10.4,535.7,-10.7,-0.54,-1.33,0.88
6.61,-15.8,526.8,-10.5,-0.58,-1.42,0.66
6.612,-6.1,539.3,-0.7,-0.37,-1.22,0.77
6.614,-8.4,535.2,-4.5,-0.53,-1.27,0.67
6.616,-24,529.2,-4.6,-0.39,-1.21,0.72
6.618,-21,540.5,-5.2,-0.4,-1.32,0.81
6.62,-15.3,538.2,-4.9,-0.35,-1.35,0.67
6.622,-17.4,535.8,-10.7,-0.35,-1.33,0.66
6.624,-9.9,541.4,-5.3,-0.53,-1.3,0.75
6.626,-11.3,538.2,-2.1,-0.23,-1.37,0.66
6.628,-7.4,542.1,-6.8,-0.43,-1.31,0.77
6.63,-7.9,545.7,-3.7,-0.39,-1.46,0.81
6.632,-6.8,539.8,-0.2,-0.25,-1.31,0.7
6.634,-12.2,538.7,-8.3,-0.43,-1.36,0.87
6.636,-18.9,540.1,-7.8,-0.45,-1.36,0.8
6.638,-4.8,550.5,-4.3,-0.5,-1.35,0.86
6.64,-8.6,540.4,-1.6,-0.4,-1.3,0.81
6.642,-5.5,555.6,-5.4,-0.51,-1.36,0.84
6.644,-13.9,545.4,-4.8,-0.28,-1.25,0.77
6.646,-8.8,550.2,-4.7,-0.54,-1.36,0.81
6.648,-7.2,549.7,-7,-0.44,-1.3,0.87
6.65,-19,552,-6.7,-0.41,-1.35,0.75
6.652,-16.6,546.3,-7.5,-0.42,-1.25,0.85
6.654,-15.4,553.5,-6.5,-0.4,-1.28,0.84
6.656,-13.3,551.6,-5.4,-0.52,-1.42,0.74
6.658,-12.3,549.9,-5.4,-0.49,-1.42,0.8
6.66,-11.1,557.4,-4.4,-0.42,-1.38,0.7
6.662,-18.9,552.3,-5.7,-0.33,-1.22,0.65
6.664,-14.9,546,-6,-0.32,-1.27,0.8
6.666,-11,563.3,-1,-0.35,-1.28,0.75
6.668,-16.3,554.4,-2.6,-0.38,-1.25,0.85
6.67,-13.5,554.9,-5.8,-0.48,-1.37,0.81
6.672,-19.2,555.5,-7.2,-0.34,-1.3,0.76
6.674,-12.6,557.5,-1.4,-0.54,-1.24,0.72
6.676,-8.1,558.8,-5.9,-0.43,-1.38,0.75
6.678,-11.4,562.5,-7.2,-0.58,-1.36,0.82
6.68,-11.1,562.2,2.1,-0.4,-1.21,0.78
6.682,-17.2,559.5,-1.2,-0.44,-1.33,0.77
6.684,-11.7,562.1,-3.2,-0.47,-1.28,0.85
6.686,-12.9,563.9,-4.7,-0.35,-1.29,0.79
6.688,-18.6,562.1,-7.3,-0.44,-1.28,0.85
6.69,-21.2,558.8,-7.4,-0.53,-1.31,0.84
6.692,-15.6,571.4,-9,-0.38,-1.2,0.88
6.694,-6.6,573.6,-3.1,-0.5,-1.29,0.96
6.696,-19.2,562.5,-7.1,-0.3,-1.24,0.79
6.698,-22.3,562.5,-10.3,-0.43,-1.3,0.89
6.7,-16.5,574.9,-2.9,-0.39,-1.27,0.81
6.702,-7.6,576.5,-2.6,-0.47,-1.23,0.72
6.704,-9.7,575.4,-5.9,-0.61,-1.35,0.97
6.706,-8.6,579.8,-2.6,-0.36,-1.26,0.77
6.708,-10.9,576.1,0.4,-0.41,-1.3,0.84
6.71,-14.2,576.3,-4.7,-0.47,-1.36,0.79
6.712,-12.3,582.9,-3.8,-0.36,-1.29,0.71
6.714,-8.8,578.4,-6.1,-0.67,-1.39,0.75
6.716,-11.8,586.7,-6.1,-0.35,-1.25,0.79
6.718,-14.2,583.1,-6.4,-0.59,-1.34,0.79
6.72,-20,576.8,-6.5,-0.59,-1.27,0.89
6.722,-12.8,575.8,-6.2,-0.4,-1.25,0.78
6.724,-20.4,579.8,-6.1,-0.53,-1.37,0.75
6.726,-4,585,-3,-0.46,-1.31,0.74
6.728,-12.4,581.4,-9,-0.46,-1.34,0.81
6.73,-12.7,583.1,-3.7,-0.57,-1.23,0.78
6.732,-11.8,582.8,-4.6,-0.51,-1.33,0.81
6.734,-8.9,586,-3.3,-0.49,-1.32,0.84
6.736,-16.7,580.4,-4.2,-0.55,-1.34,0.88
6.738,-11.7,589.4,-3.3,-0.44,-1.4,0.87
6.74,-13.5,588.2,-3.5,-0.39,-1.25,0.85
6.742,-18.6,582.2,-4.5,-0.42,-1.39,0.84
6.744,-18.1,592.2,-7.9,-0.56,-1.3,0.9
6.746,-12.2,591.9,-3.1,-0.3,-1.37,0.88
6.748,-10.4,594.1,-4.1,-0.53,-1.35,0.73
6.75,-11.6,599.4,-0.9,-0.52,-1.33,0.84
6.752,-7.6,602.4,-1.9,-0.39,-1.28,0.64
6.754,-3.7,594.2,-3.4,-0.56,-1.33,0.82
6.756,-4.4,603.4,-4.1,-0.51,-1.31,0.88
6.758,-17,592.5,-8.1,-0.58,-1.42,0.73
6.76,-18.1,593.3,-7,-0.6,-1.33,0.96
6.762,-11.7,597.8,-2.5,-0.34,-1.32,0.74
6.764,-12.4,595.7,-5.6,-0.6,-1.32,0.83
6.766,-17,589.1,-9.1,-0.49,-1.3,0.92
6.768,-12.8,601,-6.1,-0.67,-1.32,0.69
6.77,-11.8,605,-7.2,-0.55,-1.27,0.9
6.772,-11.8,598.6,-9.1,-0.5,-1.3,0.62
6.774,-14.3,594.7,-2.4,-0.61,-1.25,0.76
6.776,-9.1,597,-2.8,-0.4,-1.34,0.61
6.778,-17,586.7,-7.7,-0.49,-1.18,0.67
6.78,-16.9,592.2,-4.2,-0.51,-1.4,0.62
6.782,-25.2,592,-6.5,-0.46,-1.24,0.75
6.784,-11.1,598.3,-6,-0.53,-1.31,0.71
6.786,-11.8,598.9,-4.5,-0.43,-1.22,0.85
6.788,-2.6,609.2,-2.4,-0.52,-1.36,0.72
6.79,-13.5,602.8,-7.7,-0.38,-1.2,0.84
6.792,-11.7,600.6,-7.5,-0.51,-1.37,0.83
6.794,-15.8,604.5,-10.3,-0.57,-1.28,0.84
6.796,-13.7,600.9,-4,-0.44,-1.37,0.85
6.798,-17.3,593.4,-2.9,-0.56,-1.21,0.79
6.8,-13.2,598.6,-11.7,-0.47,-1.34,0.83
6.802,-10,599.4,-9.3,-0.59,-1.27,0.77
6.804,-12.3,600.3,-5.7,-0.35,-1.24,0.77
6.806,-14.9,602.4,-6.4,-0.51,-1.22,0.69
6.808,-18.9,600,-10.7,-0.55,-1.34,0.81
6.81,-14.6,602.2,-2.8,-0.36,-1.27,0.73
6.812,-13.2,600.3,-6.1,-0.58,-1.31,0.93
6.814,-13.7,602.6,-6.1,-0.39,-1.37,0.64
6.816,-13.7,605.9,-10.4,-0.51,-1.38,0.9
6.818,-15.6,604.3,-5.1,-0.41,-1.34,0.66
6.82,-15.4,607.3,-7.9,-0.48,-1.4,0.78
6.822,-8.5,606.3,-6.9,-0.4,-1.25,0.84
6.824,-11.8,600.9,-6.3,-0.44,-1.31,0.74
6.826,-13.1,608.5,-5.5,-0.4,-1.24,0.85
6.828,-8.7,600.2,-3,-0.56,-1.23,0.66
6.83,-21.2,608.4,-5.1,-0.48,-1.27,0.77
6.832,-11.7,610.7,-5.4,-0.42,-1.3,0.74
6.834,-12.4,602.4,-7.1,-0.35,-1.24,0.74
6.836,-9.6,598,-3.5,-0.51,-1.41,0.72
6.838,-5.3,613.4,-3.1,-0.41,-1.32,0.8
6.84,-10.9,610.6,-6.8,-0.49,-1.29,0.88
6.842,-6.8,612.2,-4.7,-0.39,-1.22,0.82
6.844,-9.6,609.6,-2.5,-0.42,-1.28,0.87
6.846,-3,610.6,-6.8,-0.49,-1.28,0.76
6.848,-15.7,608.8,-12.1,-0.42,-1.34,0.83
6.85,-6.8,617.3,-1.1,-0.48,-1.32,0.77
6.852,-7.2,607.7,0.4,-0.32,-1.27,0.82
6.854,-10.5,609.3,-8.1,-0.53,-1.26,0.75
6.856,-12.8,610.8,-4,-0.29,-1.26,0.79
6.858,-5.4,610.1,-0.7,-0.55,-1.3,0.77
6.86,-3.2,612.9,-5.4,-0.42,-1.29,0.9
6.862,-15.3,610.2,-8.6,-0.38,-1.28,0.76
6.864,-12.2,606.2,-3.5,-0.42,-1.28,0.8
6.866,-4.5,618.1,-4.2,-0.4,-1.27,0.77
6.868,-10.6,615.5,-3.2,-0.41,-1.28,0.81
6.87,-6.7,617,-1.3,-0.41,-1.32,0.86
6.872,0.8,617.3,-4.9,-0.58,-1.28,0.85
6.874,-16,612.2,-6.5,-0.55,-1.38,0.75
6.876,-4.4,619.7,-4.7,-0.59,-1.36,0.72
6.878,-9.4,617,-2.6,-0.33,-1.24,0.89
6.88,-13.9,616,-5.1,-0.49,-1.29,0.75
6.882,-16,611.5,-6.8,-0.38,-1.26,0.87
6.884,-17.8,617.6,-4.5,-0.52,-1.28,0.77
6.886,-19,613.6,-4.8,-0.38,-1.25,0.83
6.888,-8.3,617.4,-6.7,-0.34,-1.19,0.77
6.89,-1.9,620.2,-3.5,-0.5,-1.34,0.78
6.892,-9.1,618.5,-5.5,-0.55,-1.34,0.75
6.894,-15.3,618.8,-5.2,-0.24,-1.26,0.81
6.896,-9.3,621.2,-4,-0.53,-1.25,0.58
6.898,-8.9,618.4,-2.4,-0.47,-1.32,0.71
6.9,-10.2,611.6,-5.3,-0.4,-1.29,0.62
6.902,-13.2,620.3,-7.2,-0.55,-1.29,0.71
6.904,-10.7,627.4,-1.5,-0.32,-1.21,0.79
6.906,-12.9,615,-2.8,-0.47,-1.25,0.75
6.908,-5.7,618.3,-3,-0.42,-1.3,0.81
6.91,-10,624.9,-1.9,-0.33,-1.23,0.69
6.912,-12.1,623,0.4,-0.52,-1.27,0.82
6.914,-9.7,615.5,-6.5,-0.48,-1.32,0.7
6.916,-9.3,620.1,-6.9,-0.33,-1.17,0.76
6.918,-7.4,617.6,1,-0.55,-1.32,0.78
6.92,-13.1,621.6,-1.6,-0.37,-1.27,0.75
6.922,-15.5,617.1,-8.5,-0.46,-1.29,0.76
6.924,-15.7,610.8,-6.4,-0.54,-1.41,0.8
6.926,-10.1,611,-1.9,-0.35,-1.26,0.73
6.928,-11.6,618.6,-5.7,-0.64,-1.32,0.89
6.93,-14.2,619.4,-0.9,-0.32,-1.33,0.57
6.932,-7.4,625.1,-1,-0.48,-1.27,0.88
6.934,-6.7,624.2,1.5,-0.7,-1.27,0.72
6.936,-8.4,619.5,-2.9,-0.2,-1.1,0.83
6.938,-13.5,620.2,-3.6,-0.57,-1.36,0.81
6.94,-11.6,625.5,-3.7,-0.33,-1.17,0.84
6.942,-16,619.8,-4.9,-0.32,-1.22,0.81
6.944,-14.3,622.7,-1.4,-0.71,-1.29,0.71
6.946,-1.5,630.8,0.4,-0.45,-1.22,0.81
6.948,-4,626.9,-0.9,-0.58,-1.23,0.87
6.95,-5.7,629.6,-1,-0.55,-1.38,0.79
6.952,-7.6,625.6,0.8,-0.4,-1.18,0.78
6.954,-16.2,624.1,-4.7,-0.57,-1.35,0.78
6.956,-3,627.9,-1.3,-0.5,-1.28,0.86
6.958,-11.1,627.1,-1.2,-0.6,-1.31,0.74
6.96,-11.3,624.8,-3.2,-0.57,-1.22,0.85
6.962,-8.3,623.3,0.6,-0.54,-1.3,0.83
6.964,-13.7,631.1,-4.4,-0.46,-1.23,0.75
6.966,-2.5,628.9,-5.1,-0.54,-1.38,0.81
6.968,-5.8,627.9,-6.5,-0.51,-1.28,0.77
6.97,-13.7,626.9,-3.7,-0.67,-1.25,0.71
6.972,-14.4,624.1,-4.9,-0.46,-1.3,0.85
6.974,-12.5,631.6,-5.1,-0.56,-1.19,0.77
6.976,-13.7,631.5,-0.6,-0.68,-1.27,0.8
6.978,-6.9,629.9,0.4,-0.54,-1.18,0.76
6.98,-10.8,623.3,0.5,-0.55,-1.31,0.72
6.982,-10.7,633.4,-2.6,-0.53,-1.27,0.78
6.984,-13.7,629.7,-1.4,-0.58,-1.34,0.84
6.986,-9.5,629.4,-2.9,-0.43,-1.26,0.82
6.988,-10.5,633.3,-3,-0.56,-1.25,0.71
6.99,-11.3,632.1,-2.3,-0.51,-1.22,0.81
6.992,-10.7,636.3,-1.9,-0.34,-1.18,0.99
6.994,-10,632.8,-6.5,-0.53,-1.3,0.85
6.996,-17.3,627.1,-4.9,-0.39,-1.2,0.9
6.998,-15.7,625.5,-2.6,-0.59,-1.24,0.91
7,-14.1,632.5,-6.1,-0.59,-1.25,0.77
7.002,-10.3,638,1.1,-0.58,-1.23,0.89
7.004,-9.4,632.3,-0.9,-0.64,-1.31,0.76
7.006,-7.9,633.3,1.1,-0.57,-1.26,0.87
7.008,-13.5,632.3,-7.6,-0.71,-1.3,0.83
7.01,-8.8,632.2,-1.8,-0.75,-1.27,0.69
7.012,-11.8,638.1,-3.7,-0.46,-1.19,0.97
7.014,-12.3,628.1,-5.2,-0.55,-1.22,0.64
7.016,-10.5,628.8,-2.3,-0.49,-1.23,0.84
7.018,-10.9,634.4,-0.2,-0.43,-1.15,0.69
7.02,-9.5,629.7,-9.1,-0.59,-1.3,0.71
7.022,-10.7,624.4,-7.2,-0.49,-1.17,0.73
7.024,-14.5,638.8,-5.1,-0.49,-1.24,0.69
7.026,-10,634.8,-3.7,-0.62,-1.21,0.64
7.028,-8.8,628.3,-4.6,-0.5,-1.26,0.7
7.03,-15.6,624.9,-3.2,-0.52,-1.22,0.74
7.032,-14.3,629.3,2.2,-0.48,-1.32,0.78
7.034,-9,631.8,-9.6,-0.57,-1.25,0.72
