Flight Time Rounded (s),Thrust (lb),Accel (ft/sec^2),Weight (lb)
2.85,19.58595,-163.0269391,36.66313
2.86,17.2123,-164.7936553,36.6624
2.87,15.93979,-165.5919053,36.66179
2.88,14.94289,-166.147449,36.66126
2.89,13.946,-166.7026791,36.66078
2.9,12.94905,-167.2575544,36.66035
2.91,11.95207,-167.8119193,36.65997
2.92,10.9551,-168.3657584,36.65963
2.93,9.958069,-168.9187739,36.65934
2.94,8.961017,-169.4710464,36.6591
2.95,7.963939,-170.0223578,36.65891
2.96,6.966861,-170.5728158,36.65876
2.97,5.969729,-171.1221476,36.65866
2.98,0,-180.4102591,36.65861
2.99,0,-180.0555176,36.6586
3,0,-179.7014253,36.6586
3.01,0,-179.3480834,36.6586
3.02,0,-178.9955538,36.6586
3.03,0,-178.6441982,36.6586
3.04,0,-178.2938369,36.6586
3.05,0,-177.9447659,36.6586
3.06,0,-177.5968658,36.6586
3.07,0,-177.250341,36.6586
3.08,0,-176.9050735,36.6586
3.09,0,-176.5612152,36.6586
3.1,0,-176.2185483,36.6586
3.11,0,-175.9225408,36.6586
3.12,0,-175.5371758,36.6586
3.13,0,-175.1531942,36.6586
3.14,0,-174.7707263,36.6586
3.15,0,-174.3893723,36.6586
3.16,0,-174.0092315,36.6586
3.17,0,-173.6302051,36.6586
3.18,0,-173.2522222,36.6586
3.19,0,-172.8753979,36.6586
3.2,0,-172.4996637,36.6586
3.21,0,-172.1249486,36.6586
3.22,0,-171.7513281,36.6586
3.23,0,-171.3790346,36.6586
3.24,0,-171.0080562,36.6586
3.25,0,-170.638145,36.6586
3.26,0,-170.2697965,36.6586
3.27,0,-169.9029134,36.6586
3.28,0,-169.537358,36.6586
3.29,0,-169.1732309,36.6586
3.3,0,-168.8107308,36.6586
3.31,0,-168.449461,36.6586
3.32,0,-168.0896764,36.6586
3.33,0,-167.731139,36.6586
3.34,0,-167.3739465,36.6586
3.35,0,-167.0179382,36.6586
3.36,0,-166.6632033,36.6586
3.37,0,-166.3048838,36.6586
3.38,0,-165.9386534,36.6586
3.39,0,-165.5736877,36.6586
3.4,0,-165.209838,36.6586
3.41,0,-164.8472907,36.6586
3.42,0,-164.4858999,36.6586
3.43,0,-164.1256674,36.6586
3.44,0,-163.7666599,36.6586
3.45,0,-163.408871,36.6586
3.46,0,-163.0523976,36.6586
3.47,0,-162.6972219,36.6586
3.48,0,-162.3434158,36.6586
3.49,0,-161.9910563,36.6586
3.5,0,-161.6399079,36.6586
3.51,0,-161.2901873,36.6586
3.52,0,-160.9417433,36.6586
3.53,0,-160.5947878,36.6586
3.54,0,-160.2489919,36.6586
3.55,0,-159.9047398,36.6586
3.56,0,-159.5615551,36.6586
3.57,0,-159.219521,36.6586
3.58,0,-158.8789512,36.6586
3.59,0,-158.5393496,36.6586
3.6,0,-158.2010642,36.6586
3.61,0,-157.8637743,36.6586
3.62,0,-157.5276136,36.6586
3.63,0,-157.1926736,36.6586
3.64,0,-156.8587299,36.6586
3.65,0,-156.5259415,36.6586
3.66,0,-156.1942612,36.6586
3.67,0,-155.8637422,36.6586
3.68,0,-155.5343013,36.6586
3.69,0,-155.2059627,36.6586
3.7,0,-154.8789412,36.6586
3.71,0,-154.5529964,36.6586
3.72,0,-154.2281748,36.6586
3.73,0,-153.9047192,36.6586
3.74,0,-153.5823505,36.6586
3.75,0,-153.2612542,36.6586
3.76,0,-152.9412509,36.6586
3.77,0,-152.622277,36.6586
3.78,0,-152.304668,36.6586
3.79,0,-151.9881784,36.6586
3.8,0,-151.6726595,36.6586
3.81,0,-151.3583781,36.6586
3.82,0,-151.0449537,36.6586
3.83,0,-150.7326473,36.6586
3.84,0,-150.4214827,36.6586
3.85,0,-150.1111884,36.6586
3.86,0,-149.8021512,36.6586
3.87,0,-149.4940835,36.6586
3.88,0,-149.1869531,36.6586
3.89,0,-148.8809575,36.6586
3.9,0,-148.5758463,36.6586
3.91,0,-148.2719044,36.6586
3.92,0,-147.968882,36.6586
3.93,0,-147.6669439,36.6586
3.94,0,-147.3660578,36.6586
3.95,0,-147.0661958,36.6586
3.96,0,-146.7673375,36.6586
3.97,0,-146.4694852,36.6586
3.98,0,-146.172804,36.6586
3.99,0,-145.8771281,36.6586
4,0,-145.5825447,36.6586
4.01,0,-145.2888825,36.6586
4.02,0,-144.9962474,36.6586
4.03,0,-144.7046802,36.6586
4.04,0,-144.414086,36.6586
4.05,0,-144.1244235,36.6586
4.06,0,-143.8355932,36.6586
4.07,0,-143.5478134,36.6586
4.08,0,-143.2609862,36.6586
4.09,0,-142.9751366,36.6586
4.1,0,-142.6902688,36.6586
4.11,0,-142.3766831,36.6586
4.12,0,-141.8639141,36.6586
4.13,0,-141.354317,36.6586
4.14,0,-140.8482938,36.6586
4.15,0,-140.3453116,36.6586
4.16,0,-139.8457706,36.6586
4.17,0,-139.3494376,36.6586
4.18,0,-138.8566025,36.6586
4.19,0,-138.3667636,36.6586
4.2,0,-137.8803773,36.6586
4.21,0,-137.3972562,36.6586
4.22,0,-136.9170119,36.6586
4.23,0,-136.4398188,36.6586
4.24,0,-135.9658754,36.6586
4.25,0,-135.4951828,36.6586
4.26,0,-135.0272675,36.6586
4.27,0,-134.5624347,36.6586
4.28,0,-134.1006815,36.6586
4.29,0,-133.6419206,36.6586
4.3,0,-133.1859833,36.6586
4.31,0,-132.7329668,36.6586
4.32,0,-132.2827744,36.6586
4.33,0,-131.8354347,36.6586
4.34,0,-131.3910314,36.6586
